aaien
aan
beurt
hand
aandoen
aankijken
aankleden
zich
aankomen
aanraken
aantrekken
aanwijzen
aap
aardappel
acht
achter
achteruit
na
af
plaats
klaar
afgelopen
afmaken
afspreken
al
alle
allebei
alleen
allemaal
alles
als
zoals
indien
alsjeblieft
alstublieft
altijd
andere
ander
anders
verschillend
andersom
appel
arm
lichaamsdeel
auto
au
avond
baard
baby
bad
bak
bal
ballon
banaan
bang
bank
bed
bedenken
bedoelen
been
beer
beest
beetje
beginnen
begrijpen
bek
beker
bel
bellen
opbellen
beneden
berg
bewaren
bewegen
bezig
bij
bijna
bijten
bijvoorbeeld
bil
billen
binnen
blad
blaadje
boom
papier
blaffen
blauw
blazen
blij
blijven
bloed
bloem
blok
bloot
boek
boef
boer
boerderij
bol
rond
boodschappen
boom
boos
boot
bord
eten
bordje
school
keuze
bos
bomen
boter
boterham
botsen
bouwen
bouwhoek
boven
bovenop
brand
breken
brengen
brief
bril
broek
broer
brood
broodje
bruin
buik
buikpijn
buiten
bus
vervoer
cadeau
cadeautje
cent
chips
chocolade
chocola
chocomel
chocomelk
chocolademelk
clown
computer
circus
cirkel
daar
daarna
daarom
dadelijk
dag
etmaal
groet
dak
dan
tijd
daarna
vergelijking
dank
je
wel
dansen
das
sjaal
dit
dat
deken
deksel
denken
aan
deur
deze
dezelfde
dicht
dichtbij
die
diep
dier
dierentuin
dik
ding
doei
doeg
doek
doekje
doen
dokter
donker
donkerst
donkerder
dood
door
doorgaan
doorheen
doorspoelen
doos
dop
dorst
douche
draad
draadje
draaien
dragen
drie
driehoek
drinken
drogen
dromen
droog
drop
dropje
druk
rustig
niet
drukken
duidelijk
duim
dun
duren
durven
dus
duur
duwen
echt
heus
een
eend
eens
eerste
eerst
ei
eigen
eigenlijk
eindelijk
elastiek
elk
elkaar
emmer
en
eng
er
uitzien
eraan
erbij
erg
heel
vervelend
ergens
erin
erop
eruit
ervan
eten
even
tijd
groot
klein
veel
feest
fiets
fietsen
fijn
film
fles
fluisteren
fluit
fluiten
foto
fout
friet
frietjes
gaan
naar
gang
garage
gat
gauw
gebeuren
gebruiken
geel
geen
geit
gek
geld
geloven
aannemen
geluid
gelukkig
gemakkelijk
makkelijk
genoeg
gevaarlijk
geven
gewoon
gezellig
gezicht
hoofd
gieter
giraf
gisteren
glas
drinkglas
glijbaan
glijden
goed
best
beter
goedkoop
goed
zo
gooien
gordijn
goud
graag
liefst
liever
grap
gras
grijs
groeien
groen
groep
grond
bodem
groot
haakje
haan
haar
hoi
haren
hai
halen
half
hallo
hand
handdoek
hangen
aan
ergens
hapje
hap
happen
hard
voelen
slaan
roepen
snel
hebben
helpen
bijstaan
heel
volledig
erg
heen
weer
heerlijk
heet
hek
heleboel
helemaal
helpen
hem
hemd
hen
herfst
hert
het
klopt
regent
sneeuwt
waait
heten
hetzelfde
hier
hij
ie
hijskraan
hoe
hoed
hoek
hoera
hoesten
hoeveel
hoeven
hok
hol
hollen
hond
hoofd
hoog
hoor
horen
luisteren
bij
houden
hebben
van
hout
huilen
huis
hun
hut
idee
ieder
iedereen
iemand
iets
ding
iets
beetje
een
ijs
winter
ijsje
ik
in
tijd
plaats
is
ja
jaar
jammer
jarig
jas
jawel
je
jouw
jij
jong
jongen
jou
juffrouw
juf
jullie
jurk
kaars
kaarsje
kaart
kaartje
kaas
kabouter
kachel
kam
kamer
kammen
kant
richting
rand
kapot
kapotmaken
kapper
kapstok
kar
kast
kat
kauwgom
keel
keer
kennen
ketting
keuken
keurig
kiepen
kietelen
kiezen
kijken
kikker
kind
kip
kist
klaar
klap
klappen
klas
kleed
klei
kleien
klein
kleren
kleur
kleuren
klimmen
klinken
klok
kloppen
aankloppen
knap
knie
knijpen
knikken
knikker
knippen
knoeien
knoop
jas
veter
knop
knopje
koe
koek
koekje
koelkast
koffie
koken
komen
konijn
koning
koningin
kop
dier
van
kopje
kopen
kort
koud
kraal
kraan
krant
krassen
kriebelen
krijgen
krijtje
kring
krokodil
kruipen
kuiken
kunnen
kus
kusje
kussen
kwast
kwijt
laars
laarzen
laat
laatst
lachen
lam
lammetje
lamp
lampje
land
lang
langs
langzaam
laten
later
lawaai
leeg
leeuw
leggen
neerleggen
lego
lekker
lekkers
lepel
letter
lente
leren
iets
leuk
lezen
licht
lichtje
liedje
lief
liggen
horizontaal
bevinden
lijken
op
lijm
lijn
likken
limonade
lip
lolly
lopen
los
loslaten
lucht
luier
luisteren
lukken
lukt
het
lusten
maan
maar
maken
vervaardigen
mama
mam
ma
man
mand
meedoen
meegaan
meisje
melk
meneer
mens
merken
mes
met
meteen
mevrouw
middag
mij
mijn
mis
misschien
moe
moeder
moeilijk
moeten
mogen
mol
mond
monster
mooi
ochtend
morgen
motor
muis
muts
muur
muziek
na
tijd
naam
naar
richting
naartoe
naast
nacht
nadenken
nagel
nat
natuurlijk
nee
neerleggen
neerzetten
nek
nemen
nest
netjes
neus
niemand
niet
niets
niks
nieuw
nodig
zijn
hebben
noemen
nog
steeds
nooit
noot
nootje
nou
nu
nummer
of
ok
okee
olifant
om
te
beurt
de
oma
omdat
omdraaien
omgooien
omhoog
omvallen
onder
beneden
onderbroek
onderin
ons
oog
ook
oom
oor
op
is
neer
plaats
en
opa
opbellen
opdrinken
opeens
open
openmaken
opeten
ophangen
ophouden
opletten
opruimen
opsteken
opzetten
muts
van
opzij
kop
oud
jong
over
overal
overgeven
spugen
overheen
paar
enige
paard
paars
paddestoel
pakje
pakket
doos
pak
pakken
nemen
pan
pang
pannenkoek
pap
papa
pap
pa
papier
pas
geleden
kort
passen
maat
patat
peer
pen
pet
piepen
pijn
pijp
buis
pil
pinda
pindakaas
plaat
plaatje
plaats
plek
plagen
plakken
plant
plas
urine
